slug,title,asset_id,asset_type,themes,spatial_scope,temporal_type,has_official_example_code,has_official_recipe,has_band_metadata,band_count,recipe_band_count,official_url
NOAA_CFSR,CFSR: Climate Forecast System Reanalysis | Earth Engine Data Catalog | Google for Developers,NOAA/CFSR,ImageCollection,"surface_water,ocean,soil_water",global,time_series,True,True,True,94,0,https://developers.google.com/earth-engine/datasets/catalog/NOAA_CFSR?hl=zh-cn
WWF_HydroSHEDS_v1_Basins_hybas_8,WWF HydroSHEDS Basins Level 8 | Earth Engine Data Catalog | Google for Developers,WWF/HydroSHEDS/v1/Basins/hybas_8,FeatureCollection,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_v1_Basins_hybas_8?hl=zh-cn
WWF_HydroSHEDS_v1_Basins_hybas_9,WWF HydroSHEDS Basins Level 9 | Earth Engine Data Catalog | Google for Developers,WWF/HydroSHEDS/v1/Basins/hybas_9,FeatureCollection,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_v1_Basins_hybas_9?hl=zh-cn
WWF_HydroSHEDS_15DIR,"WWF HydroSHEDS Drainage Direction, 15 Arc-Seconds | Earth Engine Data Catalog | Google for Developers",WWF/HydroSHEDS/15DIR,Image,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_15DIR?hl=zh-cn
WWF_HydroSHEDS_03DIR,"WWF HydroSHEDS Drainage Direction, 3 Arc-Seconds | Earth Engine Data Catalog | Google for Developers",WWF/HydroSHEDS/03DIR,Image,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_03DIR?hl=zh-cn
WWF_HydroSHEDS_30DIR,"WWF HydroSHEDS Drainage Direction, 30 Arc-Seconds | Earth Engine Data Catalog | Google for Developers",WWF/HydroSHEDS/30DIR,Image,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_30DIR?hl=zh-cn
WWF_HydroSHEDS_15ACC,"WWF HydroSHEDS Flow Accumulation, 15 Arc-Seconds | Earth Engine Data Catalog | Google for Developers",WWF/HydroSHEDS/15ACC,Image,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_15ACC?hl=zh-cn
WWF_HydroSHEDS_30ACC,"WWF HydroSHEDS Flow Accumulation, 30 Arc-Seconds | Earth Engine Data Catalog | Google for Developers",WWF/HydroSHEDS/30ACC,Image,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_30ACC?hl=zh-cn
WWF_HydroSHEDS_v1_FreeFlowingRivers,WWF HydroSHEDS Free Flowing Rivers Network v1 | Earth Engine Data Catalog | Google for Developers,WWF/HydroSHEDS/v1/FreeFlowingRivers,FeatureCollection,watershed,global,static,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_v1_FreeFlowingRivers?hl=zh-cn
WWF_HydroSHEDS_15CONDEM,"WWF HydroSHEDS Hydrologically Conditioned DEM, 15 Arc-Seconds | Earth Engine Data Catalog | Google for Developers",WWF/HydroSHEDS/15CONDEM,Image,watershed,global,static,True,False,True,1,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_15CONDEM?hl=zh-cn
WWF_HydroSHEDS_03CONDEM,"WWF HydroSHEDS Hydrologically Conditioned DEM, 3 Arc-Seconds | Earth Engine Data Catalog | Google for Developers",WWF/HydroSHEDS/03CONDEM,Image,watershed,global,static,True,False,True,1,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_03CONDEM?hl=zh-cn
WWF_HydroSHEDS_30CONDEM,"WWF HydroSHEDS Hydrologically Conditioned DEM, 30 Arc-Seconds | Earth Engine Data Catalog | Google for Developers",WWF/HydroSHEDS/30CONDEM,Image,watershed,global,static,True,False,True,1,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_30CONDEM?hl=zh-cn
WWF_HydroSHEDS_03VFDEM,"WWF HydroSHEDS Void-Filled DEM, 3 Arc-Seconds | Earth Engine Data Catalog | Google for Developers",WWF/HydroSHEDS/03VFDEM,Image,watershed,global,static,True,False,True,1,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_03VFDEM?hl=zh-cn
